Date,time,Thermo1,Thermo2,Thermo3,Thermo4
2024-04-14,15:07:37,probe nc,probe nc,probe nc,probe nc
2024-04-14,15:07:40,probe nc,probe nc,probe nc,probe nc
2024-04-14,15:07:43,probe nc,probe nc,probe nc,probe nc
2024-04-14,15:07:46,probe nc,probe nc,probe nc,probe nc
2024-04-14,15:07:49,probe nc,probe nc,probe nc,probe nc
2024-04-14,15:07:52,probe nc,probe nc,probe nc,probe nc
2024-04-14,15:07:55,probe nc,probe nc,probe nc,probe nc
2024-04-14,15:07:58,probe nc,probe nc,probe nc,probe nc
2024-04-14,15:08:01,probe nc,probe nc,probe nc,probe nc
2024-04-14,15:08:04,probe nc,probe nc,probe nc,probe nc
